title,description,pubdate
Ukraine war: UK households offered £350 a month for hosting refugees,"Households are encouraged to join the ""national effort"", but critics say the plan falls short.","Sun, 13 Mar 2022 11:05:31 GMT"
War in Ukraine: Uni to uniform - Ukraine's new teenage army recruits,Young volunteers swap their studies for assault rifles as they prepare to defend Kyiv from Russian forces.,"Sat, 12 Mar 2022 23:57:22 GMT"
War in Ukraine: Russian forces accused of abducting second mayor,"The news comes as Ukraine says Russia is trying to create ""pseudo-republics"" to break up the country.","Sun, 13 Mar 2022 11:29:12 GMT"
"Irbil attack: Missiles from Iran hit northern Iraqi city, US says","The missiles damaged buildings near the US consulate in Irbil, but no casualties have been reported.","Sun, 13 Mar 2022 09:38:56 GMT"
Scotland and Wales bid to be refugee super sponsors,The first ministers want Ukrainians to be housed quickly and given help with safeguarding and services.,"Sun, 13 Mar 2022 11:12:16 GMT"
Bafta Awards 2022: Stars prepare to return to in-person ceremony,Australian star Rebel Wilson will host the full-capacity ceremony at London's Royal Albert Hall.,"Sun, 13 Mar 2022 00:54:17 GMT"
Boss accused of defrauding blind workers' pensions,"Blind staff at failed 168-year-old business say they are owed pay, redundancy and furlough money.","Sun, 13 Mar 2022 00:27:27 GMT"
"Ukraine: Ireland's 'priority is humanitarian' as it takes 5,500 refugees","'Ireland has never experienced anything on this scale before', says Taoiseach Micheál Martin.","Sun, 13 Mar 2022 11:17:33 GMT"
Roman Abramovich: Rabbi investigated over Portuguese citizenship,Daniel Litvak helped Russian billionaire Roman Abramovich obtain Portuguese citizenship.,"Sat, 12 Mar 2022 23:39:14 GMT"
Naomi Osaka in tears after being heckled mid-game,Former world number one Naomi Osaka is brought to tears by a heckler during her 6-0 6-4 defeat by Veronika Kudermetova at Indian Wells.,"Sun, 13 Mar 2022 08:17:31 GMT"
Liverpool schools: The parents tackling admission policies,Hundreds of Liverpool parents could appeal after their children failed to get into their chosen schools.,"Sun, 13 Mar 2022 08:00:49 GMT"
Saudi Arabia executes 81 men in one day,"The range of charges on which the men were convicted included terrorism and holding ""deviant beliefs"".","Sat, 12 Mar 2022 15:17:09 GMT"
Michael Conlan 'all good' after Leigh Wood retains world title with brutal knockout,Leigh Wood produces a brutal last-round knockout of Michael Conlan to retain his WBA featherweight title amid worrying scenes.,"Sun, 13 Mar 2022 07:38:06 GMT"
Russia faces brain drain as thousands flee abroad,Many Russians who can afford it have fled to nearby countries since Russia invaded Ukraine.,"Sun, 13 Mar 2022 01:41:10 GMT"
Indian evacuee: The kindness of Ukrainians saved my life,"From an airstrike bunker to his mum's relieved hugs, Vishnu tells how he and his dog fled Ukraine to India.","Sun, 13 Mar 2022 00:59:06 GMT"
Russia sanctions: How the measures have changed daily life,Prices are rising in Russia and some goods are harder to buy. Here are ways sanctions are affecting daily life.,"Sun, 13 Mar 2022 01:34:57 GMT"
Sunday update: Russia strikes new targets,Russian troops have expanded their offensive as they continue attempts to cut off the capital Kyiv.,"Sun, 13 Mar 2022 10:30:30 GMT"
Ukraine war: Pictures of war intensifying in third week,Images from Russia's invasion of Ukraine show a conflict turning deadlier nearly three weeks on.,"Sat, 12 Mar 2022 12:15:39 GMT"
"Under threat of Russian bombs, Lviv hides away its priceless heritage",The picturesque western city of Lviv is racing to protect is cultural and religious artefacts.,"Sat, 12 Mar 2022 00:25:31 GMT"
Ukraine: 'Not all Russians support this war',Yevgeny says it is his responsibility as a Russian to help Ukrainians.,"Sun, 13 Mar 2022 00:02:13 GMT"
The Papers: £350 a month refugee plan and plea to help orphans,The new scheme that will allow people in the UK to host Ukrainian refugees dominates the front pages.,"Sun, 13 Mar 2022 07:03:36 GMT"
Your pictures on the theme of 'urban landscape',A selection of striking images from our readers around the world.,"Sun, 13 Mar 2022 00:48:47 GMT"
The first sex worker strike: 'We are just women and mothers',"When 200 French sex workers took refuge in a church, it started a movement","Sun, 13 Mar 2022 00:00:40 GMT"
Northumberland farm welcomes five-legged lamb,It is the second time Whitehouse Farm in Northumberland has had a lamb with an extra limb.,"Sun, 13 Mar 2022 07:25:12 GMT"
Intimate image abuse: His confession protected him,Georgie received an anonymous tip-off on Facebook that intimate photos of her were being shared online.,"Sat, 12 Mar 2022 00:00:50 GMT"
Console 'scalper' on stockpiling PlayStations for profit,Omar Mehtab spoke to a 'scalper;' a person who stockpiles popular products and resells them for profit.,"Sat, 12 Mar 2022 09:21:11 GMT"
Will Russia's attack on Ukraine help thaw US-Venezuela relations?,"The ban on Russian oil exports is causing prices to surge, and leaders are revisiting some awkward friendships.","Sun, 13 Mar 2022 00:23:15 GMT"
Xenotransplantation: Are pigs the future of organ transplants?,"After a series of medical breakthroughs, will these animals solve the global shortage of organs?","Sun, 13 Mar 2022 00:34:47 GMT"
"'Without TikTok, I'd still be a wedding singer'",The video-sharing platform's new SoundOn service will let people distribute their own music.,"Sun, 13 Mar 2022 00:54:43 GMT"
PGI status: Could Welsh leeks become the new Cornish pasty?,The humble vegetable could be about to join the likes of Cheddar Cheese and Cornish Pasties.,"Sun, 13 Mar 2022 07:04:57 GMT"
Cristiano Ronaldo: 'A phenomenal hat-trick and a staggering performance' - Alan Shearer analysis,"Cristiano Ronaldo's performance against Tottenham shows why Manchester United would be worse off without him, says MOTD pundit Alan Shearer.","Sun, 13 Mar 2022 09:35:50 GMT"
Isak Munda: The Orissa labourer who became a YouTube star,Isak Munda says the platform has changed his life since he started posting videos.,"Sun, 13 Mar 2022 00:59:28 GMT"
How England's 14 men whipped up Twickenham crowd with stirring display in defeat,England shred the script that came with Charlie Ewels' early red card with a performance of ferocious defence and unstinting belief.,"Sat, 12 Mar 2022 22:29:01 GMT"
Dudula: How South African anger has focused on foreigners,Support seems to be growing for two groups who are campaigning against undocumented foreign nationals.,"Sun, 13 Mar 2022 01:32:27 GMT"
"West Indies draw a huge step forward, says England captain Root","England's draw against West Indies in the first Test is a ""huge step forward"" after a ""difficult year"", says captain Joe Root.","Sat, 12 Mar 2022 23:56:16 GMT"
"Six Nations Magic: Excellent tries, big hits and best moments from round four","Relive the great tries, big hits and funny moments from round four of the Six Nations as Wales come up short against France, Scotland thrash Italy and Ireland defeat 14-man England.","Sun, 13 Mar 2022 08:27:00 GMT"
MOTD analysis: How 'sensational' Cristiano Ronaldo dominated Tottenham Hotspur,Match of the Day pundits Alan Shearer and Jermaine Jenas highlight the contribution of Cristiano Ronaldo after his hat-trick helped Manchester United beat Tottenham Hotspur 3-2 at Old Trafford.,"Sun, 13 Mar 2022 00:15:19 GMT"
Women's World Cup: Beth Mooney takes 'absolute screamer' at second slip,"Watch Australia's Beth Mooney take an ""absolute screamer"" of a catch at second slip to remove New Zealand's Amelia Kerr in their Women's World Cup match in Wellington.","Sun, 13 Mar 2022 02:39:02 GMT"
Coming through Twickenham character test shows Ireland's improvement under Farrell,"Ireland's mettle was tested at Twickenham in a way it had not been so far under Andy Farrell, and they found the answer.","Sun, 13 Mar 2022 10:36:39 GMT"
Strong winds replace storms at 'brutal' Sawgrass as Fleetwood retains share of lead,High winds blew away the storms that have blighted the Players Championship as round two finally got under way on Saturday with Tommy Fleetwood continuing to lead the way.,"Sun, 13 Mar 2022 00:44:31 GMT"
